time	gFx	gFy	gFz	TgF
0.448084531	0,0485	0,0428	1,0252	1,027
0.450470312	0,0468	0,0411	1,0331	1,035
0.452872135	0,0465	0,0389	1,0338	1,036
0.45534776	0,0456	0,0389	1,0343	1,036
0.457720052	0,0456	0,0365	1,0304	1,032
0.460127187	0,0441	0,0365	1,0279	1,03
0.462662812	0,0439	0,0343	1,0204	1,022
0.46504474	0,0436	0,033	1,0182	1,02
0.46731849	0,0436	0,0318	1,016	1,017
0.469756927	0,0448	0,0323	1,0147	1,016
0.472124948	0,0443	0,033	1,0113	1,013
0.474523646	0,0417	0,0277	1,0101	1,011
0.476975937	0,0395	0,0299	1,0084	1,01
0.479618802	0,0351	0,0301	1,0069	1,008
0.48179651	0,0348	0,0313	1,005	1,006
0.4841425	0,0355	0,0345	1,0025	1,004
0.486558229	0,0336	0,0372	1,0033	1,005
0.488949531	0,0324	0,036	1,0025	1,004
0.491368437	0,0377	0,0409	1,0003	1,002
0.494179948	0,038	0,0457	0,9972	0,999
0.496341719	0,0407	0,0479	0,9901	0,992
0.498580469	0,0412	0,047	0,9847	0,987
0.501007448	0,0417	0,0482	0,981	0,983
0.503377969	0,0409	0,0528	0,9764	0,979
0.505856771	0,0419	0,0523	0,9793	0,982
0.508196302	0,0436	0,0543	0,9788	0,981
0.510762552	0,0402	0,0538	0,981	0,983
0.51312651	0,039	0,0572	0,9847	0,987
0.515430052	0,0373	0,0621	0,9864	0,989
0.517842865	0,0402	0,066	0,9852	0,988
0.52022875	0,0365	0,0692	0,9869	0,99
0.522627865	0,0414	0,0677	0,9918	0,995
0.525081771	0,0517	0,0499	0,9881	0,991
0.527578594	0,0504	0,0531	0,9976	1
0.529958437	0,0436	0,0619	1,0077	1,01
0.532267344	0,046	0,0716	1,015	1,019
0.534648958	0,0504	0,0758	1,0172	1,021
0.537057031	0,0578	0,076	1,0147	1,019
0.539450885	0,0612	0,0814	1,0147	1,02
0.541882448	0,0585	0,0821	1,0113	1,016
0.544403542	0,059	0,0785	1,0091	1,014
0.546749375	0,0536	0,0765	1,0128	1,017
0.54917	0,0519	0,076	1,0143	1,018
0.552897448	0,0443	0,0731	1,014	1,018
0.554435833	0,0414	0,0702	1,0128	1,016
0.556752604	0,0377	0,0653	1,0133	1,016
0.559217292	0,0395	0,0653	1,013	1,016
0.564304844	0,0407	0,0621	1,0118	1,015
0.56524974	0,0387	0,0553	1,0125	1,015
0.567520729	0,0397	0,0521	1,013	1,015
0.569518646	0,0439	0,0492	1,0099	1,012
